SOURCE_RID,RID,ENTITY_TYPE,ENTITY_ID,ENTITY_NAME,PRIMARY_COORD_SYSTEM,LONGITUDE,LATITUDE,UTM_ZONE,UTM_EASTING,UTM_NORTHING,GEO_STATE_NAME,GEO_STATE_FIPS,GEO_COUNTY_NAME,GEO_COUNTY_FIPS,GEO_CITY_NAME,GEO_ZIP_CODE,GEO_ADDRESS_1
101783866,101783994,SOURCE,27167SW022,NA,NA,-96.36807,46.62865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783868,101783995,SOURCE,27169SW026,NA,NA,-91.74882,44.03697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783870,101783996,SOURCE,27169SW025,NA,NA,-91.66372,43.99738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783872,101783997,SOURCE,27171SW059,NA,NA,-94.21531,45.1706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783808,101783965,SOURCE,27137SW237,NA,NA,-92.68395,47.88044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783810,101783966,SOURCE,27137SW175,NA,NA,-92.46856,47.12372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783812,101783967,SOURCE,27137SW097,NA,NA,-92.49736,47.50754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783814,101783968,SOURCE,27137SW164,NA,NA,-92.8451,46.89394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783816,101783969,SOURCE,27137SW161,NA,NA,-92.96978,47.40921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783818,101783970,SOURCE,27137SW262,NA,NA,-92.38653,47.84415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783820,101783971,SOURCE,27137SW038,NA,NA,-92.11958,47.53765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783822,101783972,SOURCE,27137SW128,NA,NA,-92.26043,47.54693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783824,101783973,SOURCE,27137SW003,NA,NA,-92.40676,47.51017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783826,101783974,SOURCE,27137SW068,NA,NA,-91.90295,47.79384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783828,101783975,SOURCE,27137SW204,NA,NA,-92.9225,48.0132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101808733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101808737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101808695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101808699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101808709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101808603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101808605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101808617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101808623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101808625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101808627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101808655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101808657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101808659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101808673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101808681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101808687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101808719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101808721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101808729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
