entity_id,source_name,long.x,lat.x,long.y,lat.y,long_diff,lat_diff,check_coords,lat_correct,long_correct,notes
27037POTW04,Met Council Hastings WWTP,-92.85074567,44.74377662,-92.8462044,44.7453079,-0.00454127,-0.00153128,done,"44.74542448605386,",-92.84670107,
27043POTW02,Blue Earth WWTP,-94.1143367,43.64429674,-94.1143368,43.6443017,1.00E-07,-4.96E-06,don't check,,,
27041POTW02,Alexandria Lakes Area Sanitary District,-95.40803681,45.86718743,NA,NA,NA,NA,done,"45.86700061016136,",-95.40576229,
27071POTW01,NKASD WWTP,-93.42386492,48.60071429,-93.43010206,48.59661227,0.00623714,0.00410202,done,"48.59982397928004,",-93.42197206,
27085POTW07,Lester Prairie WWTP,-94.03053726,44.88212033,-94.02819072,44.87045467,-0.00234654,0.01166566,done,"44.87911273823117,",-94.03507833,
27045POTW02,Preston WWTP,-92.09132462,43.67070812,-92.0913663,43.6707695,4.17E-05,-6.14E-05,don't check,,,
27111POTW01,Pelican Rapids WWTP,-96.08915129,46.57146906,-96.0891512,46.571469,-9.00E-08,6.00E-08,don't check,,,
27097POTW01,Swanville WWTP,-94.64561826,45.91348083,-94.64184205,45.91347512,-0.00377621,5.71E-06,done,45.91348083,-94.64561826,
27141POTW03,Big Lake WWTP,-93.74978408,45.30087063,-93.74978,45.3008682,-4.08E-06,2.43E-06,don't check,,,
27137POTW07,Eveleth WWTP,-92.54467415,47.46074412,-92.5450089,47.4605934,3.35E-04,1.51E-04,don't check,,,
27157POTW05,Hammond WWTP,-92.37313841,44.22024315,-92.3731484,44.2249764,9.99E-06,-0.00473325,done,"44.22366967506271,",-92.37441748,
27169POTW01,Altura WWTP,-91.94388098,44.07759619,-91.9438951,44.0776173,1.41E-05,-2.11E-05,don't check,,,
27171POTW13,Otsego WWTP West,-93.65529936,45.26272477,-93.6552992,45.2627138,-1.60E-07,1.10E-05,don't check,,,
27039POTW03,Kasson WWTP,-92.72356771,44.04383721,-92.7176742,44.0438108,-0.00589351,2.64E-05,done,"44.04809834295363,",-92.73132715,
